,bangalore,chennai,cochin,gurgaon,hosur,noida,visakapatinam,travel,hometown
0,0,0,0,0,1,0,0,True,True
1,1,0,0,0,0,0,0,True,False
2,0,1,0,0,0,0,0,True,True
3,0,1,0,0,0,0,0,True,True
4,1,0,0,0,0,0,0,True,False
5,0,0,0,1,0,0,0,False,True
6,0,0,0,1,0,0,0,False,True
7,0,0,0,1,0,0,0,False,False
8,0,0,0,1,0,0,0,False,False
9,0,0,0,1,0,0,0,False,False
10,1,0,0,0,0,0,0,False,False
11,1,0,0,0,0,0,0,False,False
12,1,0,0,0,0,0,0,False,True
13,1,0,0,0,0,0,0,False,False
14,1,0,0,0,0,0,0,False,False
15,1,0,0,0,0,0,0,False,False
16,1,0,0,0,0,0,0,False,False
17,1,0,0,0,0,0,0,False,True
18,1,0,0,0,0,0,0,False,False
19,1,0,0,0,0,0,0,False,False
20,1,0,0,0,0,0,0,False,False
21,1,0,0,0,0,0,0,False,False
22,1,0,0,0,0,0,0,False,False
23,1,0,0,0,0,0,0,False,False
24,1,0,0,0,0,0,0,False,False
25,1,0,0,0,0,0,0,False,False
26,1,0,0,0,0,0,0,False,True
27,1,0,0,0,0,0,0,False,True
28,0,1,0,0,0,0,0,False,True
29,0,1,0,0,0,0,0,False,True
30,0,1,0,0,0,0,0,False,True
31,0,1,0,0,0,0,0,False,False
32,0,1,0,0,0,0,0,False,False
33,0,1,0,0,0,0,0,False,True
34,0,1,0,0,0,0,0,False,True
35,0,1,0,0,0,0,0,False,False
36,0,1,0,0,0,0,0,False,True
37,0,1,0,0,0,0,0,False,True
38,0,1,0,0,0,0,0,False,True
39,0,1,0,0,0,0,0,False,True
40,0,1,0,0,0,0,0,False,True
41,0,1,0,0,0,0,0,False,False
42,0,1,0,0,0,0,0,False,False
43,0,1,0,0,0,0,0,False,False
44,0,1,0,0,0,0,0,False,True
45,0,1,0,0,0,0,0,False,True
46,0,1,0,0,0,0,0,False,True
47,0,1,0,0,0,0,0,False,True
48,0,1,0,0,0,0,0,False,True
49,0,1,0,0,0,0,0,False,True
50,0,1,0,0,0,0,0,False,False
51,0,1,0,0,0,0,0,False,False
52,0,1,0,0,0,0,0,False,False
53,0,1,0,0,0,0,0,False,True
54,0,1,0,0,0,0,0,False,True
55,0,1,0,0,0,0,0,False,True
56,0,1,0,0,0,0,0,False,True
57,0,1,0,0,0,0,0,False,True
58,0,1,0,0,0,0,0,False,True
59,0,1,0,0,0,0,0,False,True
60,0,1,0,0,0,0,0,False,True
61,0,1,0,0,0,0,0,False,True
62,0,1,0,0,0,0,0,False,True
63,0,1,0,0,0,0,0,False,True
64,0,1,0,0,0,0,0,False,True
65,0,1,0,0,0,0,0,False,True
66,0,1,0,0,0,0,0,False,True
67,0,1,0,0,0,0,0,False,True
68,0,1,0,0,0,0,0,False,True
69,0,1,0,0,0,0,0,False,True
70,0,1,0,0,0,0,0,False,True
71,0,1,0,0,0,0,0,False,True
72,0,1,0,0,0,0,0,False,True
73,0,1,0,0,0,0,0,False,True
